Size, Time
262144,0.127552
524288,0.14704
1048576,0.154624
2097152,0.18
4194304,0.210336
8388608,0.310432
16777216,0.483936
33554432,0.818336
67108864,1.50432
2,0.130048
4,0.120768
8,0.118784
16,0.103424
32,0.155616
64,0.158784
128,0.176128
256,0.175104
512,0.135168
1024,0.285696
2048,0.11264
4096,0.11776
8192,0.140288
16384,0.1024
32768,0.095008
65536,0.213824
131072,0.158368
262144,0.129632
524288,0.147008
1048576,0.153024
2097152,0.152896
4194304,0.215648
8388608,0.352384
16777216,0.486848
33554432,0.82176
67108864,1.53264
2,0.130048
4,0.124928
8,0.126976
16,0.142336
32,0.150528
64,0.108544
128,0.146432
256,0.125952
512,0.150528
1024,0.119808
2048,0.221184
4096,0.094208
8192,0.13312
16384,0.115712
32768,0.117696
65536,0.184384
131072,0.1464
262144,0.131584
524288,0.178912
1048576,0.160608
2097152,0.143776
4194304,0.223328
8388608,0.336608
16777216,0.495328
33554432,0.818048
67108864,1.54982
2,0.047104
4,0.112672
8,0.128
16,0.13312
32,0.134144
64,0.154624
128,0.14848
256,0.1536
512,0.152576
1024,0.12496
2048,0.171008
4096,0.110592
8192,0.099328
16384,0.132096
32768,0.08624
65536,0.078816
131072,0.149184
262144,0.133408
524288,0.137696
1048576,0.15328
2097152,0.1592
4194304,0.207712
8388608,0.327488
16777216,0.484256
33554432,0.825408
67108864,1.52656
2,0.123904
4,0.132096
8,0.129024
16,0.151616
32,0.155648
64,0.128
128,0.157696
256,0.175104
512,0.183296
1024,0.134176
2048,0.412672
4096,0.181248
8192,0.134144
16384,0.093184
32768,0.205312
65536,0.168896
131072,0.151936
262144,0.138592
524288,0.136032
1048576,0.159264
2097152,0.15712
4194304,0.212736
8388608,0.334144
16777216,0.487872
33554432,0.829952
67108864,1.52378
2,0.055296
4,0.132096
8,0.155648
16,0.14336
32,0.151552
64,0.150528
128,0.149504
256,0.129024
512,0.167936
1024,0.134144
2048,0.121856
4096,0.094208
8192,0.104448
16384,0.064512
32768,0.330368
65536,0.083968
131072,0.16576
262144,0.135776
524288,0.136832
1048576,0.153504
2097152,0.147136
4194304,0.216448
8388608,0.346976
16777216,0.487808
33554432,0.81504
67108864,1.53523
2,0.356352
4,0.129024
8,0.130048
16,0.15872
32,0.158688
64,0.129024
128,0.14848
256,0.130048
512,0.135168
1024,0.130048
2048,0.182272
4096,0.115712
8192,0.110624
16384,0.115712
32768,0.091424
65536,0.084896
131072,0.149184
262144,0.131072
524288,0.15936
1048576,0.159424
2097152,0.154816
4194304,0.227648
8388608,0.328704
16777216,0.514656
33554432,0.817536
67108864,1.51078
2,0.180224
4,0.15968
8,0.154624
16,0.12288
32,0.132096
64,0.132096
128,0.147456
256,0.120832
512,0.13312
1024,0.366592
2048,0.181248
4096,0.123904
8192,0.105472
16384,0.18432
32768,0.342688
65536,0.078176
131072,0.1744
262144,0.13376
524288,0.136672
1048576,0.122112
2097152,0.167584
4194304,0.23792
8388608,0.345504
16777216,0.485408
33554432,0.818208
67108864,1.52723
2,0.120832
4,0.134144
8,0.130048
16,0.15872
32,0.156672
64,0.15872
128,0.150528
256,0.13312
512,0.126976
1024,0.181248
2048,0.11264
4096,0.186368
8192,0.129024
16384,0.116736
32768,0.13664
65536,0.091552
131072,0.065504
262144,0.133376
524288,0.136352
1048576,0.15904
2097152,0.156576
4194304,0.229632
8388608,0.335776
16777216,0.48048
33554432,0.82064
67108864,1.50624
2,0.132096
4,0.150528
8,0.12496
16,0.156672
32,0.15872
64,0.132096
128,0.15264
256,0.157696
512,0.159744
1024,0.13312
2048,0.111616
4096,0.136192
8192,0.251904
16384,0.038912
32768,0.11152
65536,0.080608
131072,0.150176
262144,0.159296
524288,0.140128
1048576,0.149888
2097152,0.155872
4194304,0.220448
8388608,0.33856
16777216,0.481344
33554432,0.839168
67108864,1.5112
2,0.186368
4,0.121856
8,0.128
16,0.124928
32,0.162816
64,0.150528
128,0.154624
256,0.161792
512,0.132096
1024,0.130048
2048,0.116736
4096,0.0952
8192,0.14336
16384,0.118784
32768,0.35584
65536,0.205568
131072,0.145504
262144,0.048
524288,0.141824
1048576,0.165472
2097152,0.200032
4194304,0.215712
8388608,0.324512
16777216,0.497312
33554432,0.843104
67108864,1.52982
2,0.284672
4,0.132096
8,0.160768
16,0.128
32,0.155648
64,0.15568
128,0.136192
256,0.136192
512,0.156672
1024,0.111616
2048,0.154688
4096,0.095232
8192,0.185344
16384,0.10752
32768,0.171552
65536,0.115328
131072,0.186048
262144,0.132
524288,0.139008
1048576,0.163328
2097152,0.159104
4194304,0.249824
8388608,0.347456
16777216,0.485472
33554432,0.836576
67108864,1.53949
2,0.131072
4,0.15872
8,0.132096
16,0.16384
32,0.155648
64,0.188416
128,0.169984
256,0.157696
512,0.178176
1024,0.041984
2048,0.39424
4096,0.118784
8192,0.094208
16384,0.104448
32768,0.111424
65536,0.081696
131072,0.147488
262144,0.128416
524288,0.1304
1048576,0.171264
2097152,0.185376
4194304,0.209824
8388608,0.319456
16777216,0.477408
33554432,0.843552
67108864,1.5433
2,0.386048
4,0.128064
8,0.120832
16,0.13008
32,0.150592
64,0.130048
128,0.134176
256,0.130048
512,0.148448
1024,0.283616
2048,0.118784
4096,0.115712
8192,0.10656
16384,0.03584
32768,0.115392
65536,0.214752
131072,0.148896
262144,0.1352
524288,0.14864
1048576,0.154688
2097152,0.162624
4194304,0.229184
8388608,0.321504
16777216,0.479392
33554432,0.830688
67108864,1.5041
2,0.134144
4,0.126976
8,0.150464
16,0.135168
32,0.1536
64,0.150528
128,0.183296
256,0.147456
512,0.125952
1024,0.147456
2048,0.141312
4096,0.111616
8192,0.111616
16384,0.369664
32768,0.092608
65536,0.07712
131072,0.14688
262144,0.129152
524288,0.147296
1048576,0.158688
2097152,0.153664
4194304,0.219584
8388608,0.315104
16777216,0.488928
33554432,0.829408
67108864,1.53568
2,0.136192
4,0.129024
8,0.15152
16,0.134144
32,0.164864
64,0.156672
128,0.150528
256,0.186368
512,0.156672
1024,0.050176
2048,0.11264
4096,0.109568
8192,0.185344
16384,0.09216
32768,0.08928
65536,0.2216
131072,0.063648
262144,0.132864
524288,0.142368
1048576,0.169312
2097152,0.15088
4194304,0.212608
8388608,0.314464
16777216,0.488864
33554432,0.824928
67108864,1.53347
2,0.128
4,0.11776
8,0.127968
16,0.156736
32,0.128
64,0.1536
128,0.126976
256,0.134144
512,0.137216
1024,0.132064
2048,0.367616
4096,0.137216
8192,0.099328
16384,0.109568
32768,0.13296
65536,0.078592
131072,0.166048
262144,0.134016
524288,0.154368
1048576,0.145056
2097152,0.162496
4194304,0.223488
8388608,0.312384
16777216,0.4744
33554432,0.83696
67108864,1.51136
2,0.128
4,0.12288
8,0.13312
16,0.129024
32,0.15872
64,0.126976
128,0.1792
256,0.125952
512,0.147456
1024,0.111616
2048,0.121856
4096,0.04304
8192,0.100352
16384,0.094208
32768,0.091456
65536,0.175136
131072,0.155904
262144,0.128064
524288,0.136288
1048576,0.16384
2097152,0.15312
4194304,0.229888
8388608,0.319872
16777216,0.489568
33554432,0.8328
67108864,1.5241
2,0.050176
4,0.137216
8,0.132096
16,0.15968
32,0.148576
64,0.157696
128,0.13312
256,0.155648
512,0.152576
1024,0.19456
2048,0.104416
4096,0.11264
8192,0.115712
16384,0.09728
32768,0.089824
65536,0.092256
131072,0.164736
262144,0.127936
524288,0.13328
1048576,0.151456
2097152,0.157984
4194304,0.22912
8388608,0.316128
16777216,0.489536
33554432,0.836384
67108864,1.51459
2,0.135168
4,0.157696
8,0.106496
16,0.129024
32,0.133024
64,0.134144
128,0.136192
256,0.139264
512,0.15872
1024,0.388096
2048,0.106496
4096,0.108544
8192,0.119808
16384,0.094208
32768,0.08816
65536,0.079104
131072,0.165824
262144,0.151008
524288,0.138528
1048576,0.170304
2097152,0.178016
4194304,0.22352
8388608,0.316256
16777216,0.510432
33554432,0.83568
67108864,1.50707
2,0.088064
4,0.142336
8,0.132096
16,0.130048
32,0.172032
64,0.156672
128,0.130048
256,0.129024
512,0.150528
1024,0.42496
2048,0.120832
4096,0.101376
8192,0.185344
16384,0.186368
32768,0.126528
65536,0.180192
131072,0.075456
262144,0.131264
524288,0.136064
1048576,0.155808
2097152,0.150752
4194304,0.207392
8388608,0.313088
16777216,0.485632
33554432,0.851648
67108864,1.51174
2,0.055296
4,0.154624
8,0.115712
16,0.131072
32,0.156672
64,0.130048
128,0.163904
256,0.151552
512,0.128
1024,0.108544
