Size, Time 
262144 ,0.251904
524288 ,0.243712
1048576 ,0.280576
2 ,0.065504
4 ,0.068608
8 ,0.068608
16 ,0.065536
32 ,0.07168
64 ,0.06656
128 ,0.06656
256 ,0.062464
512 ,0.067584
1024 ,0.067584
2048 ,0.068608
4096 ,0.070656
8192 ,0.064512
16384 ,0.067584
32768 ,0.072704
65536 ,0.072704
131072 ,0.06656
262144 ,0.282624
524288 ,0.24576
1048576 ,0.26112
2 ,0.067584
4 ,0.067584
8 ,0.069632
16 ,0.069632
32 ,0.066496
64 ,0.069632
128 ,0.064512
256 ,0.068608
512 ,0.078848
1024 ,0.068608
2048 ,0.068608
4096 ,0.069632
8192 ,0.072672
16384 ,0.06656
32768 ,0.067584
65536 ,0.070656
131072 ,0.068608
262144 ,0.254976
524288 ,0.247808
1048576 ,0.282624
2 ,0.070656
4 ,0.069632
8 ,0.095232
16 ,0.064512
32 ,0.07168
64 ,0.062464
128 ,0.068608
256 ,0.06656
512 ,0.073728
1024 ,0.067584
2048 ,0.069632
4096 ,0.105472
8192 ,0.068608
16384 ,0.069632
32768 ,0.067584
65536 ,0.07168
131072 ,0.074752
262144 ,0.25088
524288 ,0.249856
1048576 ,0.25088
2 ,0.068608
4 ,0.069632
8 ,0.069536
16 ,0.064512
32 ,0.099328
64 ,0.068608
128 ,0.065536
256 ,0.067584
512 ,0.060416
1024 ,0.063488
2048 ,0.068608
4096 ,0.073728
8192 ,0.072704
16384 ,0.069632
32768 ,0.06656
65536 ,0.072704
131072 ,0.0696
262144 ,0.274432
524288 ,0.249856
1048576 ,0.260096
2 ,0.098304
4 ,0.067584
8 ,0.065536
16 ,0.069632
32 ,0.075776
64 ,0.070656
128 ,0.060416
256 ,0.063488
512 ,0.070656
1024 ,0.068544
2048 ,0.063488
4096 ,0.069632
8192 ,0.07168
16384 ,0.063488
32768 ,0.070656
65536 ,0.071648
131072 ,0.072704
262144 ,0.251904
524288 ,0.239616
1048576 ,0.249856
2 ,0.068608
4 ,0.070656
8 ,0.063488
16 ,0.090112
32 ,0.06864
64 ,0.065536
128 ,0.09216
256 ,0.07168
512 ,0.067584
1024 ,0.071616
2048 ,0.063488
4096 ,0.07168
8192 ,0.067584
16384 ,0.06144
32768 ,0.071648
65536 ,0.069696
131072 ,0.075776
262144 ,0.254976
524288 ,0.248832
1048576 ,0.26624
2 ,0.069696
4 ,0.067584
8 ,0.067584
16 ,0.069632
32 ,0.09216
64 ,0.062464
128 ,0.06144
256 ,0.063488
512 ,0.10752
1024 ,0.067584
2048 ,0.068608
4096 ,0.070656
8192 ,0.067584
16384 ,0.068608
32768 ,0.069664
65536 ,0.091136
131072 ,0.070656
262144 ,0.244736
524288 ,0.249856
1048576 ,0.264192
2 ,0.069632
4 ,0.070656
8 ,0.063488
16 ,0.079872
32 ,0.067584
64 ,0.068608
128 ,0.0696
256 ,0.072704
512 ,0.067584
1024 ,0.0768
2048 ,0.068608
4096 ,0.06656
8192 ,0.070656
16384 ,0.066592
32768 ,0.105472
65536 ,0.063488
131072 ,0.067584
262144 ,0.25088
524288 ,0.24576
1048576 ,0.27136
2 ,0.106496
4 ,0.067584
8 ,0.069632
16 ,0.068608
32 ,0.075776
64 ,0.065536
128 ,0.068672
256 ,0.063488
512 ,0.069632
1024 ,0.0768
2048 ,0.072704
4096 ,0.069632
8192 ,0.068608
16384 ,0.065536
32768 ,0.064512
65536 ,0.069632
131072 ,0.07168
262144 ,0.2816
524288 ,0.244736
1048576 ,0.254976
2 ,0.069632
4 ,0.075776
8 ,0.069632
16 ,0.073728
32 ,0.069632
64 ,0.076736
128 ,0.064512
256 ,0.072704
512 ,0.062464
1024 ,0.068608
2048 ,0.072736
4096 ,0.069632
8192 ,0.063488
16384 ,0.073728
32768 ,0.067584
65536 ,0.088064
131072 ,0.072704
262144 ,0.27648
524288 ,0.254976
1048576 ,0.257024
2 ,0.068608
4 ,0.06144
8 ,0.065536
16 ,0.069632
32 ,0.065536
64 ,0.08704
128 ,0.063488
256 ,0.06656
512 ,0.069632
1024 ,0.098304
2048 ,0.063488
4096 ,0.073728
8192 ,0.069696
16384 ,0.069632
32768 ,0.065536
65536 ,0.075776
131072 ,0.07168
262144 ,0.248832
524288 ,0.24576
1048576 ,0.293888
2 ,0.069632
4 ,0.07168
8 ,0.068608
16 ,0.068608
32 ,0.074752
64 ,0.06656
128 ,0.066592
256 ,0.065536
512 ,0.067584
1024 ,0.094208
2048 ,0.099328
4096 ,0.069632
8192 ,0.100352
16384 ,0.067584
32768 ,0.068608
65536 ,0.07168
131072 ,0.07168
262144 ,0.287744
524288 ,0.24064
1048576 ,0.257024
2 ,0.070656
4 ,0.069632
8 ,0.070656
16 ,0.079872
32 ,0.068608
64 ,0.069632
128 ,0.067584
256 ,0.068608
512 ,0.099296
1024 ,0.06656
2048 ,0.068608
4096 ,0.068608
8192 ,0.070656
16384 ,0.062464
32768 ,0.068608
65536 ,0.069632
131072 ,0.068608
262144 ,0.258048
524288 ,0.246816
1048576 ,0.258048
2 ,0.070624
4 ,0.069632
8 ,0.064512
16 ,0.069632
32 ,0.068544
64 ,0.06144
128 ,0.06656
256 ,0.067648
512 ,0.067584
1024 ,0.070656
2048 ,0.073728
4096 ,0.100352
8192 ,0.069632
16384 ,0.077824
32768 ,0.099328
